,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
37,Ribeira Grande,100,PT,1566266569,91,38.52,-28.7,70.84,16.49
38,Tasiilaq,0,GL,1566266570,87,65.61,-37.64,42.8,2.24
39,Sokoni,0,CD,1566266571,80,-12.89,28.78,49.42,6.62
40,Rikitea,100,PF,1566266572,83,-23.12,-134.97,74.44,2.46
41,Hilo,1,US,1566266574,55,19.71,-155.08,87.8,10.29
42,Palaikastron,0,GR,1566266575,55,35.2,26.25,77.0,11.01
43,Inirida,86,CO,1566266307,97,3.87,-67.92,73.36,2.26
44,Torbay,20,CA,1566266388,72,47.66,-52.73,64.4,13.87
45,Ballina,100,IE,1566266578,87,54.11,-9.15,55.0,8.01
46,Thompson,75,CA,1566266579,87,55.74,-97.86,53.6,8.05
47,Touros,40,BR,1566266427,94,-5.2,-35.46,73.4,3.36
48,Sechura,0,PE,1566266582,89,-5.56,-80.82,60.76,7.61
49,Naryan-Mar,1,RU,1566266583,76,67.67,53.09,56.44,11.97
50,Bernardino de Campos,33,BR,1566266584,83,-23.01,-49.48,60.04,11.88
51,Sinnamary,35,GF,1566266585,78,5.38,-52.96,81.46,9.42
52,Nikolskoye,40,RU,1566266586,93,59.7,30.79,61.0,4.47
53,Sao Filipe,8,CV,1566266587,87,14.9,-24.5,77.32,9.48
54,Svay Rieng,100,KH,1566266589,57,11.08,105.8,90.46,12.66
55,Mar del Plata,0,AR,1566266590,47,-46.43,-67.52,33.22,3.42
56,Alofi,75,NU,1566266591,78,-19.06,-169.92,78.8,10.29
57,Punta Arenas,0,CL,1566266488,89,-53.16,-70.91,32.0,2.24
58,East London,99,ZA,1566266593,52,-33.02,27.91,55.54,10.96
59,Barrow,39,AR,1566266595,85,-38.31,-60.23,32.32,4.54
60,Victoria,90,BN,1566266596,83,5.28,115.24,82.4,4.7
61,Meulaboh,100,ID,1566266597,78,4.14,96.13,81.64,7.05
62,Buala,100,SB,1566266598,77,-8.15,159.59,82.0,11.65
63,Hobart,75,AU,1566266599,58,-42.88,147.33,59.0,20.8
64,Mirnyy,0,RU,1566266600,95,56.57,36.46,58.24,6.04
65,Fershampenuaz,100,RU,1566266602,86,53.52,59.82,66.34,7.16
66,Kiama,0,AU,1566266603,38,-34.67,150.86,64.0,16.11
67,Georgetown,20,GY,1566266604,83,6.8,-58.16,82.4,6.93
68,Atar,1,MR,1566266605,30,20.52,-13.05,89.74,11.07
69,Finote Selam,5,ET,1566266606,94,10.7,37.27,55.72,2.75
70,Koumac,0,NC,1566266607,62,-20.56,164.28,69.76,16.6
71,Port Alfred,47,ZA,1566266609,69,-33.59,26.89,60.01,5.99
72,Bargaoani,0,RO,1566266610,87,46.98,26.63,62.01,2.33
73,Toktogul,0,KG,1566266611,96,41.87,72.95,71.01,2.24
74,Lagunas,9,PE,1566266612,88,-5.23,-75.68,71.92,3.24
75,Lagoa,0,PT,1566266613,40,37.14,-8.45,69.8,5.82
76,Mataura,100,NZ,1566266615,79,-46.19,168.86,48.99,3.0
77,Esperance,0,AU,1566266616,76,-33.86,121.89,55.4,9.17
78,Cockburn Town,18,TC,1566266617,79,21.46,-71.14,83.44,22.82
79,Paptalaya,39,HN,1566266618,93,15.5,-84.32,73.18,0.89
80,Zhigansk,100,RU,1566266619,78,66.77,123.37,57.16,4.94
81,Serenje,0,ZM,1566266621,88,-13.23,30.22,47.08,3.78
82,New Norfolk,75,AU,1566266622,58,-42.78,147.06,60.01,20.8
83,Ixtapa,90,MX,1566266623,70,20.71,-105.21,89.6,3.36
84,Bredasdorp,0,ZA,1566266624,87,-34.53,20.04,42.8,1.12
85,Lovington,1,US,1566266625,21,32.94,-103.35,91.99,11.41
86,Tiksi,0,RU,1566266626,77,71.64,128.87,55.54,3.24
87,Yulara,0,AU,1566266428,35,-25.24,130.99,57.2,19.46
88,Staryy Nadym,66,RU,1566266629,67,65.61,72.68,53.38,13.65
89,Toora-Khem,8,RU,1566266630,66,52.47,96.11,56.44,4.07
90,Sisimiut,54,GL,1566266631,84,66.94,-53.67,42.4,22.01
91,Avera,90,US,1566266632,94,33.19,-82.53,80.6,11.41
92,Leninskoye,0,RU,1566266634,93,54.82,82.85,51.8,4.47
93,Kiruna,100,SE,1566266635,87,67.86,20.23,50.0,10.29
94,Carlisle,54,GB,1566266636,93,54.89,-2.94,55.99,14.99
95,Salmas,20,IR,1566266637,48,38.2,44.77,64.4,4.7
96,Vaini,40,IN,1566266638,94,15.34,74.49,69.8,1.28
97,Vila Franca do Campo,75,PT,1566266640,94,37.72,-25.43,71.01,8.05
98,Caranavi,82,BO,1566266641,87,-15.83,-67.57,53.38,0.85
99,Upernavik,100,GL,1566266642,83,72.79,-56.15,42.94,4.79
100,Georgiyevka,0,RU,1566266643,91,52.25,40.45,61.3,3.56
101,Sitka,100,US,1566266645,43,37.17,-99.65,86.0,8.99
102,Nicolas Bravo,75,MX,1566266646,46,24.39,-104.74,73.99,10.29
103,Mayo,20,CA,1566266647,24,63.59,-135.9,55.4,5.82
104,Labuhan,36,ID,1566266648,43,-2.54,115.51,92.98,1.5
105,Kapaa,1,US,1566266649,58,22.08,-159.32,87.8,14.99
106,Biak,100,ID,1566266650,88,-0.91,122.88,65.8,8.34
107,Kamenka,0,MD,1566266652,88,48.03,28.7,55.0,1.72
108,Muros,0,ES,1566266653,93,42.77,-9.06,63.0,11.41
109,Tarakan,20,ID,1566266592,78,3.3,117.63,82.4,9.17
110,Monywa,100,MM,1566266655,74,22.12,95.13,83.8,8.39
111,Cherskiy,100,RU,1566266656,45,68.75,161.3,71.74,5.97
112,Talnakh,90,RU,1566266657,100,69.49,88.39,48.2,13.42
113,Jamestown,56,AU,1566266659,69,-33.21,138.6,53.56,15.61
114,Arraial do Cabo,100,BR,1566266660,91,-22.97,-42.02,68.14,14.09
115,Annonay,100,FR,1566266661,93,45.24,4.67,62.6,2.24
116,Russell,1,US,1566266662,58,38.9,-98.86,90.0,11.41
117,Shingu,75,JP,1566266663,94,33.72,135.99,82.4,4.7
118,Khilok,96,RU,1566266664,50,51.36,110.46,62.74,9.8
119,Bambous Virieux,75,MU,1566266665,83,-20.34,57.76,71.6,14.99
120,Powell,1,US,1566266667,78,40.16,-83.08,81.0,3.36
121,Srandakan,52,ID,1566266668,79,-7.94,110.25,74.98,18.95
122,Tacuati,0,PY,1566266669,43,-23.46,-56.74,60.22,5.91
123,Necochea,61,AR,1566266670,76,-38.55,-58.74,33.76,2.48
124,Ardakan,0,IR,1566266671,15,32.31,54.02,75.2,6.93
125,Puerto Ayora,89,EC,1566266673,97,-0.74,-90.35,66.0,1.01
126,Port Lincoln,94,AU,1566266674,76,-34.72,135.86,56.98,21.03
127,Lazaro Cardenas,75,MX,1566266675,47,28.39,-105.62,82.0,8.05
128,Bintulu,90,MY,1566266486,94,3.17,113.03,75.2,6.93
129,Hobyo,33,SO,1566266677,78,5.35,48.53,74.62,21.43
130,Ulaangom,70,MN,1566266678,44,49.98,92.07,62.38,4.59
131,Kahului,40,US,1566266484,58,20.89,-156.47,86.0,18.34
132,Romitan,0,UZ,1566266680,49,39.93,64.38,69.8,9.17
133,Rabo de Peixe,75,PT,1566266682,94,37.8,-25.58,71.01,8.05
134,Manadhoo,34,MV,1566266683,79,5.77,73.38,81.82,8.39
135,Lavrentiya,0,RU,1566266684,60,65.58,-170.99,52.12,12.93
136,Mahebourg,75,MU,1566266685,83,-20.41,57.7,71.6,14.99
137,Harlingen,90,NL,1566266686,87,53.18,5.41,63.0,19.46
138,Tuktoyaktuk,90,CA,1566266687,93,69.44,-133.03,37.4,9.17
139,Willowmore,0,ZA,1566266689,93,-33.3,23.49,38.62,2.08
140,Norman Wells,75,CA,1566266690,79,65.28,-126.83,50.0,5.82
141,Omsukchan,0,RU,1566266691,42,62.53,155.8,67.78,2.66
142,Guerrero Negro,0,MX,1566266692,84,27.97,-114.04,65.98,19.06
143,Ituango,100,CO,1566266693,94,7.17,-75.76,58.42,1.81
144,Tilichiki,0,RU,1566266694,64,60.47,166.1,65.98,2.66
145,Castro,0,CL,1566266696,93,-42.48,-73.76,37.4,4.7
146,Khatanga,98,RU,1566266697,70,71.98,102.47,54.1,7.47
147,Aswan,0,EG,1566266698,28,24.09,32.9,86.0,9.17
148,Kilindoni,81,TZ,1566266699,77,-7.91,39.67,77.14,18.54
149,Garowe,100,SO,1566266700,63,8.41,48.48,72.28,25.1
150,Havelock,1,US,1566266699,73,34.88,-76.9,82.4,6.93
151,Qaqortoq,39,GL,1566266702,76,60.72,-46.03,48.2,3.36
152,Yining,68,CN,1566266704,46,29.04,114.56,94.96,1.39
153,Mount Isa,0,AU,1566266705,22,-20.73,139.49,64.4,16.11
154,Skjervoy,100,NO,1566266706,96,70.03,20.97,50.5,15.88
155,Liwale,32,TZ,1566266707,95,-9.8,37.92,56.98,3.87
156,Dauphin,90,CA,1566266708,63,51.15,-100.04,64.4,4.7
157,Broome,0,GB,1566266710,93,52.47,1.45,54.0,6.93
158,Ahipara,100,NZ,1566266711,100,-35.17,173.16,55.0,27.78
159,Gelnica,0,SK,1566266712,77,48.85,20.94,66.2,5.82
160,Airai,23,TL,1566266713,48,-8.93,125.41,84.88,3.62
161,Maniitsoq,100,GL,1566266714,81,65.42,-52.9,43.84,8.12
162,Bosaso,46,SO,1566266715,73,11.28,49.18,85.06,3.31
163,Port Hedland,0,AU,1566266716,17,-20.31,118.58,71.6,26.4
164,Codrington,0,AU,1566266718,25,-28.95,153.24,64.0,8.05
165,Jember,100,ID,1566266719,52,-8.17,113.7,76.78,5.7
166,Darnah,0,LY,1566266720,67,32.77,22.64,78.04,13.18
167,Luderitz,0,NA,1566266721,53,-26.65,15.16,61.84,15.26
168,North Branch,1,US,1566266550,82,45.51,-92.98,75.2,4.83
169,Tyazhinskiy,100,RU,1566266723,98,56.11,88.52,57.88,3.06
170,Sikeston,1,US,1566266724,79,36.88,-89.59,86.0,6.42
171,Ulkan,81,RU,1566266726,55,57.24,107.32,62.38,3.18
172,Yairipok,100,IN,1566266727,81,24.67,94.07,75.52,1.79
173,Petropavlovsk-Kamchatskiy,75,RU,1566266728,72,53.05,158.65,60.8,6.71
174,Clyde River,1,CA,1566266729,93,70.47,-68.59,42.8,3.36
175,Severo-Kurilsk,9,RU,1566266730,89,50.68,156.12,49.24,14.0
176,Salo,40,FI,1566266731,93,60.38,23.13,60.8,5.82
177,Santa Lucia,0,IT,1566266733,43,41.98,12.66,75.99,2.24
178,Peleduy,90,RU,1566266734,89,59.63,112.75,55.54,4.38
179,Alta Floresta,1,BR,1566266735,52,-9.87,-56.08,78.94,5.86
180,Key West,1,US,1566266519,73,47.93,-96.78,78.8,8.05
181,Marienburg,0,DE,1566266737,87,52.12,9.98,59.0,2.24
182,Laytown,0,IE,1566266738,87,53.68,-6.24,52.0,8.05
183,Burgos,90,ES,1566266739,87,42.34,-3.7,55.99,13.87
184,Erdenet,100,MN,1566266741,86,49.03,104.04,49.06,6.22
185,Dunedin,100,NZ,1566266742,50,-45.87,170.5,53.01,1.99
186,Mastic Beach,1,US,1566266743,83,40.77,-72.85,75.99,4.7
187,Puerto Colombia,75,CO,1566266744,88,10.99,-74.96,77.0,3.36
188,Fortuna,1,US,1566266745,77,40.6,-124.16,63.0,10.29
189,Iqaluit,20,CA,1566266746,87,63.75,-68.52,42.8,13.89
190,Vila Velha,75,BR,1566266748,74,-3.71,-38.6,80.6,14.99
191,San Quintin,82,PH,1566266749,76,17.54,120.52,84.52,12.03
192,Dwarka,75,IN,1566266750,94,28.58,77.04,88.0,5.82
193,Banting,75,MY,1566266751,79,2.82,101.5,84.2,6.93
194,Umm Lajj,0,SA,1566266608,69,25.02,37.27,86.68,8.7
195,Cayenne,0,GF,1566266667,94,4.94,-52.33,77.0,3.44
196,Yellowknife,75,CA,1566266754,67,62.45,-114.38,57.2,5.82
197,Yinchuan,96,CN,1566266755,42,38.48,106.21,72.64,4.79
198,Matamoros,75,US,1566266745,62,25.87,-97.51,89.6,14.99
199,Lalmohan,100,BD,1566266758,71,22.34,90.74,86.5,8.97
200,Mercedes,99,UY,1566266759,78,-33.25,-58.03,45.0,17.0
201,Sola,91,TZ,1566266760,56,-3.17,33.8,64.9,6.51
202,Cidreira,67,BR,1566266761,92,-30.17,-50.22,47.26,5.26
203,Leningradskiy,11,RU,1566266762,87,69.38,178.42,45.46,13.29
204,Hasaki,75,JP,1566266763,79,35.73,140.83,87.01,13.87
205,Hamilton,20,CA,1566266564,77,43.26,-79.87,73.99,3.36
206,Guanica,1,PR,1566266766,100,17.97,-66.91,82.99,4.7
207,Chokurdakh,100,RU,1566266767,36,70.62,147.9,67.42,2.19
208,Baoqing,100,CN,1566266768,86,46.32,132.2,66.34,2.68
209,Lebu,75,ET,1566266769,93,8.96,38.73,57.2,1.14
210,Iraan,1,US,1566266770,27,30.91,-101.9,91.99,10.29
211,Cabedelo,20,BR,1566266772,94,-6.97,-34.84,71.6,5.82
212,Avarua,95,CK,1566266629,88,-21.21,-159.78,77.0,10.29
213,Tura,88,RU,1566266774,36,64.27,100.22,67.42,8.95
214,Saint George,0,GR,1566266775,77,39.45,22.34,66.2,0.25
215,Cabo San Lucas,5,MX,1566266606,29,22.89,-109.91,91.4,10.29
216,Sorong,53,ID,1566266777,67,-0.86,131.25,83.8,12.01
217,Kirakira,68,SB,1566266778,81,-10.46,161.92,80.02,20.56
218,College,90,US,1566266779,43,64.86,-147.8,60.8,8.05
219,Nampula,0,MZ,1566266781,88,-15.12,39.26,62.6,4.7
220,Road Town,1,VG,1566266782,88,18.42,-64.62,82.99,8.05
221,Geraldton,20,CA,1566266783,68,49.72,-86.95,64.4,9.17
222,Kailua,20,US,1566266784,58,21.39,-157.74,91.4,11.41
223,Buraydah,0,SA,1566266785,28,26.33,43.97,86.0,8.05
224,Kaeo,100,NZ,1566266786,100,-35.1,173.78,55.0,17.13
225,Souillac,0,FR,1566266788,77,45.6,-0.6,59.0,6.93
226,Kayes,0,ML,1566266789,86,14.44,-11.44,77.32,9.06
227,Juigalpa,100,NI,1566266790,74,12.1,-85.37,77.32,5.93
228,Ahuimanu,20,US,1566266791,58,21.44,-157.84,91.4,11.41
229,Vao,1,EE,1566266792,95,59.1,26.19,53.92,8.3
230,Takoradi,98,GH,1566266793,93,4.89,-1.75,73.36,5.1
231,Kuusamo,75,FI,1566266677,93,65.96,29.19,57.2,8.05
232,Tsumeb,0,NA,1566266795,22,-19.25,17.72,56.98,9.95
233,Goderich,0,CA,1566266797,79,43.74,-81.71,68.0,3.0
234,Jacareacanga,1,BR,1566266798,43,-6.22,-57.76,77.68,2.46
235,Mikhaylovka,66,RU,1566266799,82,52.96,103.29,55.18,9.64
236,Ketchikan,90,US,1566266639,82,55.34,-131.65,55.4,9.17
237,Ust-Kulom,100,RU,1566266801,99,61.69,53.69,58.06,5.57
238,Thinadhoo,36,MV,1566266802,66,0.53,72.93,84.16,6.71
239,Fort Nelson,90,CA,1566266804,100,58.81,-122.69,42.8,4.7
240,Honiara,90,SB,1566266805,62,-9.43,159.96,89.6,12.75
241,San Cristobal,63,HN,1566266806,85,14.68,-86.92,66.34,7.38
242,Mwingi,15,KE,1566266807,90,-0.93,38.07,58.06,5.73
243,Pangai,75,TO,1566266808,69,-19.8,-174.35,77.0,6.93
244,San Patricio,0,PY,1566266809,78,-26.98,-56.83,47.98,8.81
245,Burns Lake,100,CA,1566266811,77,54.23,-125.76,46.72,7.76
246,Ponta do Sol,27,BR,1566266812,66,-20.63,-46.0,66.16,1.66
247,Katherine,0,AU,1566266813,16,-14.47,132.26,75.2,13.87
248,Ostrovnoy,100,RU,1566266814,90,68.05,39.51,58.24,15.48
249,Kachiry,0,KZ,1566266815,56,53.07,76.1,63.46,9.57
250,Kenora,34,CA,1566266816,52,49.76,-94.48,69.8,4.29
251,Alanya,0,TR,1566266818,83,36.55,32.0,71.6,4.7
252,Pemba,39,MZ,1566266819,79,-12.97,40.52,68.5,14.41
253,Maryville,1,US,1566266820,94,35.76,-83.97,82.4,1.57
254,Chaohu,0,CN,1566266821,69,31.63,117.88,82.4,6.71
255,Alice Springs,0,AU,1566266786,30,-23.7,133.88,55.4,18.34
256,Samarai,63,PG,1566266823,63,-10.62,150.67,79.3,9.91
257,Mattru,61,SL,1566266825,96,7.62,-11.83,73.18,1.99
258,Trairi,19,BR,1566266826,92,-3.28,-39.27,71.2,5.73
259,Acapulco,100,MX,1566266827,95,16.86,-99.88,74.8,3.49
260,Lasa,0,CY,1566266828,78,34.92,32.53,75.2,8.05
261,Miri,100,NG,1566266829,94,10.31,9.75,67.96,3.87
262,Cairns,0,AU,1566266604,34,-16.92,145.77,82.0,18.34
263,Sikar,0,IN,1566266832,60,27.61,75.14,85.6,6.24
264,Gidam,100,IN,1566266833,80,18.98,81.4,80.74,3.33
265,Castrillon,90,ES,1566266834,93,43.4,-6.79,63.0,2.24
266,Hereford,0,GB,1566266835,91,52.06,-2.72,55.0,4.23
267,Santo Andre,6,BR,1566266836,98,-0.91,-46.86,73.0,2.35
268,Pochutla,75,MX,1566266838,83,15.74,-96.47,80.01,9.17
269,Kabelvag,100,NO,1566266839,89,68.21,14.48,55.0,5.66
270,Nanortalik,67,GL,1566266840,98,60.14,-45.24,38.8,1.25
271,Brownwood,1,US,1566266692,34,31.71,-98.99,93.2,10.29
272,Wajir,5,KE,1566266842,75,1.75,40.07,69.76,10.38
273,Bikaner,0,IN,1566266843,50,28.02,73.32,90.82,14.52
274,Praia da Vitoria,75,PT,1566266844,88,38.73,-27.07,69.8,19.55
275,Chifeng,100,CN,1566266845,88,42.27,118.96,62.74,14.2
276,Beringovskiy,100,RU,1566266847,82,63.05,179.32,49.96,9.4
277,Novobureyskiy,100,RU,1566266848,63,49.8,129.88,68.32,2.73
278,Sun Valley,1,US,1566266849,21,39.6,-119.78,91.99,13.87
279,Lipin Bor,100,RU,1566266850,92,60.26,37.97,58.6,6.85
280,Lubango,0,AO,1566266851,43,-14.92,13.49,60.76,2.28
281,Oneida,1,US,1566266852,88,41.07,-90.23,82.4,4.52
282,Kodinsk,17,RU,1566266854,60,58.6,99.18,67.42,3.38
283,Daru,48,PG,1566266855,62,-9.07,143.21,78.22,9.31
284,San Giljan,0,MT,1566266856,78,35.92,14.49,75.99,1.12
285,Mizusawa,75,JP,1566266857,100,39.14,141.14,69.8,9.17
286,Ilulissat,20,GL,1566266858,70,69.22,-51.1,42.8,2.24
287,Krasnyy Yar,0,RU,1566266859,68,50.7,44.73,66.88,7.9
288,Narok,55,KE,1566266861,86,-1.09,35.87,54.46,7.11
289,Bani Walid,0,LY,1566266862,90,31.76,14.0,65.08,7.83
290,Hirara,75,JP,1566266863,100,24.8,125.28,82.4,4.7
291,Shitanjing,5,CN,1566266864,31,39.23,106.34,76.06,12.8
292,Okitipupa,100,NG,1566266865,95,6.5,4.78,74.08,3.42
293,Tuatapere,100,NZ,1566266866,79,-46.13,167.69,48.99,3.0
294,Novo Aripuana,54,BR,1566266868,59,-5.12,-60.38,78.4,1.95
295,Dzhebariki-Khaya,100,RU,1566266869,68,62.22,135.8,58.24,1.59
296,Nacala,81,MZ,1566266870,83,-14.56,40.69,63.64,7.27
297,Saint-Philippe,40,CA,1566266871,65,45.36,-73.48,77.0,3.36
298,Port Augusta,75,AU,1566266872,67,-32.49,137.76,57.2,9.17
299,Ratnagiri,100,IN,1566266662,80,16.98,73.3,80.38,3.96
300,Kez,59,RU,1566266875,97,57.9,53.72,62.92,3.78
301,Rocha,100,UY,1566266876,82,-34.48,-54.34,36.28,3.98
302,Hermanus,0,ZA,1566266877,81,-34.42,19.24,48.99,9.26
303,Flagstaff,1,US,1566266705,22,35.2,-111.65,89.6,8.05
304,Aklavik,75,CA,1566266879,93,68.22,-135.01,39.2,3.36
305,Iquique,90,CL,1566266880,67,-20.22,-70.14,59.0,6.93
306,Moree,0,AU,1566266655,30,-29.46,149.84,59.0,21.92
307,Vazante,94,BR,1566266882,39,-17.99,-46.9,71.92,3.47
308,Nhulunbuy,20,AU,1566266884,57,-12.18,136.78,77.0,21.92
309,San-Pedro,100,CI,1566266885,97,4.75,-6.64,71.2,2.01
310,Gornyatskiy,0,RU,1566266886,78,48.29,40.96,67.96,7.56
311,Narsaq,39,GL,1566266887,76,60.91,-46.05,48.2,3.36
312,Vanavara,0,RU,1566266888,56,60.35,102.28,66.88,5.55
313,Tiznit,0,MA,1566266889,91,29.7,-9.73,66.7,6.98
314,Eastlake,1,US,1566266891,68,32.66,-116.98,80.6,9.17
315,Ondjiva,0,AO,1566266892,22,-17.07,15.73,56.26,7.92
316,Saint-Pierre,0,FR,1566266893,93,48.95,4.24,51.8,3.36
317,Lively,1,US,1566266680,36,33.6,-99.18,95.0,13.87
318,Poya,0,NC,1566266895,66,-21.35,165.16,68.14,6.89
319,Nouadhibou,75,MR,1566266896,94,20.93,-17.03,71.6,9.17
320,Tokur,100,RU,1566266897,98,53.13,132.9,48.52,3.49
321,Talcahuano,0,CL,1566266899,87,-36.72,-73.12,51.8,5.82
322,Vestmannaeyjar,31,IS,1566266900,73,63.44,-20.27,49.96,12.24
323,Madang,100,CN,1566266901,95,35.32,102.79,46.54,5.21
324,Moose Factory,90,CA,1566266902,93,51.26,-80.61,59.0,8.05
325,Allende,0,MX,1566266903,34,28.34,-100.85,90.28,9.69
326,Flinders,0,AU,1566266905,53,-34.58,150.85,66.0,16.11
327,Miles City,1,US,1566266680,18,46.41,-105.84,89.6,10.29
328,Carnarvon,0,ZA,1566266907,41,-30.97,22.13,44.56,9.53
329,Dingle,93,PH,1566266908,75,11.0,122.67,85.6,11.83
330,Tourlaville,0,FR,1566266909,87,49.64,-1.57,60.01,9.17
331,Igarka,50,RU,1566266910,71,67.47,86.57,62.2,10.2
332,Chitral,0,PK,1566266912,25,35.85,71.79,42.58,5.06
333,Dikson,100,RU,1566266913,90,73.51,80.55,43.12,13.49
334,Flin Flon,85,CA,1566266914,78,54.77,-101.88,49.06,7.29
335,Shimoda,75,JP,1566266915,74,34.7,138.93,90.0,6.93
336,Provideniya,90,RU,1566266916,71,64.42,-173.23,51.8,15.66
337,Deputatskiy,85,RU,1566266917,31,69.3,139.9,69.76,4.07
338,Laguna,40,BZ,1566266918,78,16.17,-88.94,82.4,3.27
339,Vrangel,42,RU,1566266920,59,42.73,133.08,77.32,5.08
340,Camacha,40,PT,1566266921,88,33.08,-16.33,73.4,6.93
341,Port Elizabeth,75,US,1566266922,78,39.31,-74.98,82.0,4.7
342,Eshowe,17,ZA,1566266923,82,-28.89,31.46,49.6,2.44
343,Inhambane,5,MZ,1566266924,96,-23.87,35.38,59.68,3.04
344,Omboue,100,GA,1566266925,86,-1.57,9.26,74.62,12.1
345,Belmonte,0,PT,1566266927,92,40.36,-7.35,64.0,3.78
346,Sorland,100,NO,1566266928,90,67.67,12.69,53.74,7.94
347,Magomeni,40,TZ,1566266929,94,-6.8,39.25,71.6,6.93
348,Buba,100,GW,1566266930,93,11.59,-14.99,75.16,3.8
349,Fuengirola,20,ES,1566266931,88,36.54,-4.62,75.99,4.7
350,Pinega,68,RU,1566266932,96,64.7,43.39,56.98,5.21
351,Falun,56,SE,1566266934,82,60.61,15.63,57.2,10.29
352,Siuna,0,NI,1566266935,94,13.73,-84.78,67.24,1.48
353,Taltal,5,CL,1566266936,86,-25.41,-70.49,48.88,3.6
354,Bay Roberts,20,CA,1566266937,72,47.58,-53.28,64.4,13.87
355,Coolum Beach,0,AU,1566266938,36,-26.53,153.09,66.0,1.99
356,Solnechnyy,100,RU,1566266939,98,50.72,136.64,53.38,3.42
357,Portland,1,US,1566266940,100,43.66,-70.25,73.99,4.7
358,North Bend,1,US,1566266942,72,43.41,-124.22,66.2,12.75
359,Ola,0,RU,1566266943,80,59.58,151.3,56.62,6.31
360,Taoudenni,0,ML,1566266903,18,22.68,-3.98,96.4,8.97
361,Coffs Harbour,0,AU,1566266945,25,-30.3,153.13,66.99,8.05
362,Grindavik,40,IS,1566266946,87,63.84,-22.43,48.2,8.05
363,Pundaguitan,3,PH,1566266947,72,6.37,126.17,82.18,0.43
364,Motygino,83,RU,1566266948,51,58.18,94.69,69.76,2.15
365,Haselunne,0,DE,1566266950,82,52.67,7.48,57.2,5.82
366,Dryden,1,CA,1566266951,45,49.79,-92.84,68.0,5.73
367,Nome,1,US,1566266952,83,30.04,-94.42,86.0,5.84
368,Cervo,17,BR,1566266953,91,-22.19,-46.24,59.14,3.0
369,Juneau,75,US,1566266954,33,58.3,-134.42,59.0,6.93
370,Matara,39,BI,1566266955,74,-3.48,29.48,51.4,1.57
371,Henties Bay,0,NA,1566266957,92,-22.12,14.28,55.0,1.01
372,Gizo,20,IL,1566266958,69,31.8,34.94,75.2,4.7
373,Oum Hadjer,100,TD,1566266959,78,13.3,19.7,77.68,3.67
374,Antofagasta,90,CL,1566266960,76,-23.65,-70.4,55.4,6.93
375,Agutaya,99,PH,1566266961,78,11.15,120.94,82.9,9.1
